"theDate","opening","opening","highest","lowest","closing","volume","marketcap","CoinSymbol","CoinDesc"
"2018-07-01",455.2420043945,455.2420043945,513.4329833984,422.8099975586,433.867,1820680000,43839034236.6,"ETH",""
"2018-07-01",0.3149879873,0.3149879873,0.3618879914,0.1999820024,0.221756,515041,14034562,"SNX",""
"2018-07-01",0.1241749972,0.1241749972,0.1726710051,0.0853614,0.0877842,565616,5120710.38,"SOUL",""
"2018-07-01",0.1040050015,0.1040050015,0.1185249984,0.0775136,0.0809533,76788.8,22606532.23,"TRAC",""
"2018-07-01",0.00452098995447,0.00452098995447,0.00470075011253,0.00211141002364,0.00280475,176046,10604169.41,"XDC",""
"2018-07-01",4.4170398712,4.4170398712,4.4604301453,1.1008399725,1.88776,3524540,1146793511.83,"XTZ",""
"2018-08-01",0.143086,0.143086,0.145038,0.0869513,0.102196,42250400,2649642900.7,"ADA",""
"2018-08-01",779.95,779.95,779.95,481.433,543.078,307222000,9408059252.32,"BCH",""
"2018-08-01",13.7696,13.7696,14.4551,8.66266,11.0138,22638200,1051955827.02,"BNB",""
"2018-08-01",2.64198,2.64198,2.78767,1.63601,2.62587,21.15,1043258.15,"ERG",""
"2018-08-01",433.869,433.869,435.457,254.65,283.004,1411910000,28774922508.3,"ETH",""
"2018-08-01",0.221714,0.221714,0.229418,0.092545,0.109895,366210,6967492,"SNX",""
"2018-08-01",0.0875918,0.0875918,0.0913027,0.030046,0.033809,263391,1972178.33,"SOUL",""
"2018-08-01",0.0809386,0.0809386,0.0810613,0.0340987,0.0520182,37443.1,14458715.43,"TRAC",""
"2018-08-01",0.00280569,0.00280569,0.00287881,0.0012252,0.00146056,374288,5522069.94,"XDC",""
"2018-08-01",1.89462,1.89462,1.9819,1.17907,1.36048,1726140,826476690.35,"XTZ",""
"2018-09-01",0.101877,0.101877,0.108901,0.0617078,0.0851952,49853100,2208861959.9,"ADA",""
"2018-09-01",543.962,543.962,653.689,413.039,529.925,477471000,9208784935.62,"BCH",""
"2018-09-01",11.0266,11.0266,11.5423,9.03731,10.0178,26954000,1176523500.76,"BNB",""
"2018-09-01",2.62539,2.62539,2.94733,1.92956,2.181,0.51,866511.3,"ERG",""
"2018-09-01",283.496,283.496,301.144,170.257,232.848,1765560000,23817805502.1,"ETH",""
"2018-09-01",0.109794,0.109794,0.116921,0.0663362,0.0798232,201845,5097404,"SNX",""
"2018-09-01",0.0333838,0.0333838,0.0394381,0.0266727,0.0377154,172200,2200050.13,"SOUL",""
"2018-09-01",0.0519895,0.0519895,0.0539183,0.0267276,0.0321778,19430,8943561.97,"TRAC",""
"2018-09-01",0.00145909,0.00145909,0.00193914,0.000799782,0.00132659,59010.2,5056073.44,"XDC",""
"2018-09-01",1.36035,1.36035,1.79448,1.14179,1.42474,2073140,865513936.12,"XTZ",""
"2018-10-01",0.0852923,0.0852923,0.0881686,0.0678826,0.0697047,16366000,1807238673.73,"ADA",""
"2018-10-01",531.638,531.638,547.491,411.52,422.859,286666000,7371737947.16,"BCH",""
"2018-10-01",10.0097,10.0097,10.7457,9.23651,9.36496,21398200,1224930353.01,"BNB",""
"2018-10-01",2.17855,2.17855,2.67386,1.62079,1.75537,1668.38,697408.5,"ERG",""
"2018-10-01",233.22,233.22,234.145,188.707,197.381,1442380000,20314628127.2,"ETH",""
"2018-10-01",0.0796333,0.0796333,0.192554,0.0769076,0.119887,343409,7852446,"SNX",""
"2018-10-01",0.0376827,0.0376827,0.131516,0.0358861,0.0804843,208496,4694885.76,"SOUL",""
"2018-10-01",0.0321142,0.0321142,0.0385277,0.0299435,0.0332443,12866.7,9239987.11,"TRAC",""
"2018-10-01",0.00132515,0.00132515,0.00149589,0.00113384,0.00131806,499180,5089467.1,"XDC",""
"2018-10-01",1.42552,1.42552,1.47668,1.20456,1.28315,2135600,779499562.82,"XTZ",""
"2018-11-01",0.0696981,0.0696981,0.0813096,0.0327977,0.0389159707,28861638.78,1008977117.59,"ADA",""
"2018-11-01",423.069,423.069,638.552,154.28,173.066890871,97441740,3026267123.8,"BCH",""
"2018-11-01",9.37131,9.37131,9.88388,4.44223,5.0785724615,10699024.34,664273799.15,"BNB",""
"2018-11-01",1.75537,1.75537,2.22614,0.953568,1.2512100386,0.11,497105.75,"ERG",""
"2018-11-01",197.537,197.537,221.652,101.77,113.171421096,2020748395.52,11716096075.59,"ETH",""
"2018-11-01",0.119866,0.119866,0.147264,0.0541893,0.056898684,57665.36,3815615,"SNX",""
"2018-11-01",0.0804856,0.0804856,0.0995748,0.0349743589,0.0437554286,196060.73,2552382.75,"SOUL",""
"2018-11-01",0.0327402,0.0327402,0.0409553,0.0163159,0.0209045788,13440.55,5967044.71,"TRAC",""
"2018-11-01",0.996413,0.996413,1.06139,0.982746,1.0103967066,14143220.53,178350744,"USDC",""
"2018-11-01",0.00131806,0.00131806,0.00244131,0.00125256,0.00167979867341,622795.22,6502220.78,"XDC",""
"2018-11-01",1.28293,1.28293,1.35544,0.4822920017,0.4949578918,2434211.98,300681495,"XTZ",""
"2018-11-05",0.0243111,0.0243111,0.0243577,0.0183971,0.0209514,5513910,0,"FTM",""
"2018-11-12",0.0211335,0.0211335,0.0239836,0.0149532,0.015286,5513520,19413220,"FTM",""
"2018-11-19",0.0153451,0.0153451,0.0153996,0.00650706,0.00695112,1594180,8827922.4,"FTM",""
"2018-11-26",0.00693704,0.00693704,0.00742352195084,0.00597475,0.00651630774387,1733436.3,8275710.83,"FTM",""
"2018-12-01",0.0389911815,0.0389911815,0.0492823212,0.0273930235,0.0410629422,19280456.75,1064641797.76,"ADA",""
"2018-12-01",172.517676969,172.517676969,229.012739268,75.0753135706,151.045693919,184371700.4,2649556711.45,"BCH",""
"2018-12-01",5.0866951291,5.0866951291,6.58520069,4.189970714,6.164731871,38216014.49,806342664.22,"BNB",""
"2018-12-01",1.2554411433,1.2554411433,3.6084051372,1.1576091905,2.2060947168,0.53,876481.43,"ERG",""
"2018-12-01",113.397761799,113.397761799,157.668703493,82.8298902883,133.368263445,2358360233.97,13886837729.67,"ETH",""
"2018-12-01",0.0567042623,0.0567042623,0.0683950635,0.0354239847,0.0381928816,26721.66,2602297,"SNX",""
"2018-12-01",0.0438668073,0.0438668073,0.0513155042,0.0204924763,0.0348063873,227279.91,2030358.87,"SOUL",""
"2018-12-01",0.020959739,0.020959739,0.0293650407,0.0191058335,0.021047903,11061.14,6007955.46,"TRAC",""
"2018-12-01",1.0128178952,1.0128178952,1.0428646731,0.9785832076,1.0165651269,20975704.09,254230218,"USDC",""
"2018-12-01",0.00167756113896,0.00167756113896,0.00199194536625,0.00064398868023,0.00071044415106,343909.91,2753574.54,"XDC",""
"2018-12-01",0.4959998617,0.4959998617,0.5650904799,0.31463131,0.4626270713,955456.21,281040875.84,"XTZ",""
"2018-12-03",0.00653361763974,0.00653361763974,0.00655459640274,0.00398858373165,0.00492235508434,557759.24,6251390.96,"FTM",""
"2018-12-10",0.00491389337106,0.00491389337106,0.00596759690874,0.00468045518693,0.00523540518304,561628.54,6648964.58,"FTM",""
"2018-12-17",0.00526172954428,0.00526172954428,0.00784242377974,0.00519373570548,0.00771477415243,711631.28,9797763.17,"FTM",""
