"","open","high","low","close","volume","marketCap","timestamp","coin"
"2185",0.27495786,0.27947471,0.17959233,0.19039461,9712163.68,10480370.76,2021-04-19,"FUSE"
"2186",0.19063666,0.26720326,0.19024896,0.23867878,10616850.77,13138198.13,2021-04-26,"FUSE"
"2187",0.23902726,0.28828985,0.22102649,0.24855804,9135744.39,13682007.13,2021-05-03,"FUSE"
"2188",0.24835422,0.26784391,0.17268951,0.19681951,7747368,10834032.97,2021-05-10,"FUSE"
"2189",0.1968972,0.19691297,0.0760128,0.087527,5604371.71,4817969.51,2021-05-17,"FUSE"
"2190",0.08737514,0.12855005,0.08603049,0.10856188,5119603.86,5975845.28,2021-05-24,"FUSE"
"2191",0.10852411,0.12375979,0.09117406,0.09638782,4809020.74,5305718.19,2021-05-31,"FUSE"
"2192",0.0964036,0.10307964,0.07611108,0.08319753,3829621.9,4579651.72,2021-06-07,"FUSE"
"2193",0.0832155,0.09465531,0.06623803,0.07702792,3514546.35,4240041.96,2021-06-14,"FUSE"
"2194",0.07702768,0.07717834,0.05361131,0.06223029,3043788.27,3425498.95,2021-06-21,"FUSE"
"2195",0.06228891,0.08830442,0.05963894,0.06002835,3856475.97,3304291.89,2021-06-28,"FUSE"
"2196",0.06004337,0.06559183,0.04923965,0.05236691,1453676.19,2882563.8,2021-07-05,"FUSE"
"2197",0.0523643,0.05511862,0.04811975,0.05075649,751183.47,2793917.76,2021-07-12,"FUSE"
"2198",0.05074762,0.05437012,0.04584054,0.05162855,1270318.59,2841920.43,2021-07-19,"FUSE"
"2199",0.05161862,0.0629225,0.05145521,0.06138482,3038214.75,3378959.29,2021-07-26,"FUSE"
"2200",0.06126352,0.07348544,0.05352619,0.06758248,4986438.96,3720112.8,2021-08-02,"FUSE"
"2201",0.06765238,0.07531976,0.0640241,0.0710859,2310816.19,3912960.81,2021-08-09,"FUSE"
"2202",0.07110899,0.08282223,0.06399753,0.07511797,2595116.83,4134908.17,2021-08-16,"FUSE"
"2203",0.07509982,0.08906787,0.06957762,0.0740697,2526470.43,4077205.59,2021-08-23,"FUSE"
"2204",0.07413236,0.16361817,0.06980555,0.1393088,1892424.76,7668325.71,2021-08-30,"FUSE"
"2205",0.13930762,0.13936384,0.08789099,0.10021009,2222875.4,5516116.93,2021-09-06,"FUSE"
"2206",0.1002076,0.1046715961,0.0853652283,0.0874046982,1418633.82,4811237.35,2021-09-13,"FUSE"
"2207",0.0873708399,0.0875651261,0.0765658058,0.0793359109,920512.9,4367086.73,2021-09-20,"FUSE"
"2208",0.0793310914,0.0877128929,0.0757103514,0.0855228584,1047130.01,4707650.49,2021-09-27,"FUSE"
"2209",0.0855263445,0.0886636846,0.0817541084,0.0836107599,991999.33,4602398.03,2021-10-04,"FUSE"
"2210",0.0836022689,0.0846413975,0.0779654378,0.0805680477,1147181.47,4434910.35,2021-10-11,"FUSE"
"2211",0.0805736342,0.0930162241,0.0779543977,0.0874491205,1587779.66,4813682.6,2021-10-18,"FUSE"
"2212",0.0874341663,0.0983622578,0.0869916068,0.093459899,2387053.35,5144549.05,2021-10-25,"FUSE"
"2213",0.0934378407,0.4070498338,0.0896159044,0.3282959078,14008952.67,18071220.03,2021-11-01,"FUSE"
"2214",0.3283432077,0.7108290992,0.2293755783,0.6287721074,28355227.8,34611089.66,2021-11-08,"FUSE"
"2215",0.6271998283,0.7385461176,0.4269601594,0.4451468677,19357395.92,24503342.26,2021-11-15,"FUSE"
"2216",0.445248697,0.4492278216,0.307646616,0.4228012007,13763143.28,23273313.32,2021-11-22,"FUSE"
"2217",0.4227122862,0.4986370445,0.2416467528,0.3068650986,16620740.47,16891549.92,2021-11-29,"FUSE"
"2218",0.3071046783,0.332085122,0.2345035241,0.2474394131,9272091.35,13620431.97,2021-12-06,"FUSE"
"2219",0.2475731496,0.2484717887,0.2245601034,0.2321952411,2613053.76,12781308.55,2021-12-13,"FUSE"
"2220",0.2321956033,0.2363963991,0.2024361122,0.2322558723,2876611.51,12784646.02,2021-12-20,"FUSE"
